Unnamed: 0,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Unnamed: 13
0.03464794643376185,1939,484,1.4070623591848588,11,15,388,10,762,544,1345,2,7,24,
0.10394383930128556,294,529,0.9824216251820114,200,8,386,12,991,456,1668,20,14,25,
0.17323973216880928,2250,544,1.0163928839022391,212,8,382,90,855,511,1443,20,7,2,
0.24253562503633297,1565,78,1.4410336179050867,18,3,381,334,586,730,515,1,9,26,
0.3118315179038567,655,474,0.6936659260600752,195,58,377,122,932,569,1161,26,8,25,
0.3811274107713804,210,508,0.7446228141404169,200,2,375,57,816,567,1157,26,7,27,
0.4504233036389041,1613,474,1.1183066600629226,4,60,371,24,685,570,1117,2,11,21,
0.5197191965064278,2479,40,0.4218958562982529,177,52,369,55,1045,482,1511,27,6,13,
0.5890150893739515,468,520,0.9484503664617836,209,4,368,70,815,534,1270,20,8,27,
0.6583109822414752,47,248,0.880507849021328,206,2,365,123,718,614,901,13,11,26,
0.7276068751089989,2344,537,0.9824216251820114,206,60,364,81,805,492,1463,22,8,27,
0.7969027679765226,2402,250,1.1352922894230364,215,15,354,19,817,540,1150,13,7,24,
0.8661986608440464,970,498,0.6936659260600752,196,13,349,96,799,537,1122,22,9,13,
0.9354945537115701,1030,397,2.0864875335894144,19,8,349,10,544,451,1546,2,6,28,
1.0047904465790938,2326,329,1.6788324289466812,22,9,347,31,515,538,1102,2,63,6,
1.0740863394466176,55,550,0.5577808911791641,184,24,345,134,927,404,1689,26,7,25,
1.1433822323141412,1825,211,0.5747665205392779,188,58,345,127,943,546,1072,22,8,24,
1.212678125181665,1267,392,1.1013210307028087,217,3,344,136,650,542,1084,20,4,28,
1.2819740180491885,1199,499,0.3709389682179112,173,13,342,114,1024,446,1534,22,10,25,
1.3512699109167123,1171,487,1.186249177503378,217,56,339,46,615,410,1670,20,3,6,
1.420565803784236,425,460,1.1183066600629226,6,13,337,342,522,589,853,1,9,27,
1.4898616966517597,813,276,0.7616084435005308,195,6,336,320,918,526,1125,1,15,21,
1.5591575895192835,1972,544,0.6087377792595057,186,13,332,36,880,528,1093,22,9,21,
1.628453482386807,250,510,1.2541916949438336,8,60,331,9,560,554,970,2,5,27,
1.697749375254331,2411,351,0.8295509609409863,202,56,328,71,768,516,1128,26,3,21,
-1.697749375254331,1937,225,1.6788324289466812,16,17,327,7,611,500,1229,2,67,25,
-1.628453482386807,1581,226,0.8635222196612141,205,3,326,38,752,548,981,2,9,26,
-1.5591575895192835,828,9,0.6257234086196196,190,7,325,83,982,488,1278,20,7,27,
-1.4898616966517597,2210,487,1.3391198417444032,209,16,322,17,848,421,1570,13,4,2,
-1.420565803784236,2100,290,0.8974934783814419,205,1,318,17,620,599,736,13,7,29,
-1.3512699109167123,581,342,4.37954749720479,75,50,314,308,273,436,1473,1,35,16,
-1.2819740180491885,2011,415,1.2881629536640615,13,60,310,324,455,487,1164,1,6,28,
-1.212678125181665,804,90,0.7785940728606446,195,4,308,37,840,583,745,20,4,24,
-1.1433822323141412,1616,510,2.1034731629495282,31,9,307,88,360,298,70,2,3,4,
-1.0740863394466176,1404,211,0.7955797022207586,202,44,305,30,690,493,1126,13,6,27,
-1.0047904465790938,1017,263,1.525961764705656,8,22,304,306,700,567,789,1,7,27,
-0.9354945537115701,2231,454,0.6427090379797336,193,44,303,56,784,503,1065,22,6,4,
-0.8661986608440464,505,458,1.7297893170270227,13,16,302,128,579,440,1403,13,63,24,
-0.7969027679765226,1822,510,2.0695019042293006,9,31,299,316,782,409,1530,1,4,26,
-0.7276068751089989,476,499,0.4898383737387085,181,52,297,140,923,422,1471,28,63,28,
-0.6583109822414752,893,311,1.2541916949438336,8,44,295,296,446,561,770,1,7,11,
-0.5890150893739515,948,66,1.3391198417444032,9,8,291,298,498,430,1372,1,67,26,
-0.5197191965064278,1485,79,0.9314647371016697,206,10,287,39,721,470,1106,2,67,24,
-0.4504233036389041,1610,202,0.6427090379797336,189,11,286,34,952,464,1155,2,9,13,
-0.3811274107713804,1902,362,1.220220436223606,3,9,284,57,574,334,1700,2,63,28,
-0.3118315179038567,450,460,0.9144791077415558,195,9,283,17,853,415,1396,13,4,24,
-0.24253562503633297,757,487,1.1522779187831504,217,5,283,34,531,458,1150,2,5,26,
-0.17323973216880928,460,399,1.1352922894230364,207,60,279,341,597,472,1036,1,4,26,
-0.10394383930128556,2466,422,0.31998208013756957,172,2,277,62,910,480,979,20,5,13,
-0.03464794643376185,2436,297,4.838159489927865,97,57,276,238,144,447,1165,1,2,18,
