Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,source,4s,6s
JM Blackham (AUS),1877-1894,35,62,11,800,74,15.68,,,0,4,6,test.csv,,
Mashrafe Mortaza (BDESH),2001-2009,36,67,5,797,79,12.85,,,0,3,12,test.csv,,
GH Hirst (ENG),1897-1909,24,38,3,790,85,22.57,,,0,5,5,test.csv,,
GB Hole (AUS),1951-1955,18,33,2,789,66,25.45,,,0,6,2,test.csv,,
PJ Sharpe (ENG),1963-1969,12,21,4,786,111,46.23,,,1,4,1,test.csv,,
MG Bevan (AUS),1994-1998,18,30,3,785,91,29.07,,,0,6,4,test.csv,,
PR Downton (ENG),1981-1988,30,48,8,785,74,19.62,,,0,4,4,test.csv,,
CF Walters (ENG),1933-1934,11,18,3,784,102,52.26,,,1,7,0,test.csv,,
W Mathias (PAK),1955-1962,21,36,3,783,77,23.72,,,0,3,3,test.csv,,
Mohammad Wasim (PAK),1996-2000,18,28,2,783,192,30.11,,,2,2,3,test.csv,,
SFAF Bacchus (WI),1978-1982,19,30,0,782,250,26.06,,,1,3,7,test.csv,,
KK Jennings (ENG),2016-2019,17,32,1,781,146*,25.19,,,2,1,4,test.csv,,
WK Lees (NZ),1976-1983,21,37,4,778,152,23.57,,,1,1,4,test.csv,,
CZ Harris (NZ),1992-2002,23,42,4,777,71,20.44,,,0,5,9,test.csv,,
NRD Compton (ENG),2012-2016,16,30,3,775,117,28.7,,,2,2,3,test.csv,,
RWT Key (ENG),2002-2005,15,26,1,775,221,31.0,,,1,3,2,test.csv,,
JM How (NZ),2006-2009,19,35,1,772,92,22.7,,,0,4,4,test.csv,,
JA Snow (ENG),1965-1976,49,71,14,772,73,13.54,,,0,2,17,test.csv,,
DAJ Holford (WI),1966-1977,24,39,5,768,105*,22.58,,,1,3,3,test.csv,,
SK Raina (INDIA),2010-2015,18,31,2,768,120,26.48,,,1,7,8,test.csv,,
A Turner (AUS),1975-1977,14,27,1,768,136,29.53,,,1,3,2,test.csv,,
AME Roberts (WI),1974-1983,47,62,11,762,68,14.94,,,0,3,6,test.csv,,
AJ Hall (SA),2002-2007,21,33,4,760,163,26.2,,,1,3,7,test.csv,,
Sami Aslam (PAK),2015-2017,13,25,1,758,91,31.58,,,0,7,0,test.csv,,
LE Favell (AUS),1954-1961,19,31,3,757,101,27.03,,,1,5,2,test.csv,,
HD Rutherford (NZ),2013-2015,16,29,1,755,171,26.96,,,1,1,2,test.csv,,
